"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"24650163"	342.4264240627	45.56866	-73.71744	"45.56866,-73.71744"	43	FALSE	""
"47130094"	18449.6581187826	52.49494	-108.81145	"52.49494,-108.81145"	43	FALSE	""
"35191283"	241.300484401243	43.973	-79.24819	"43.973,-79.24819"	43	FALSE	""
"24570041"	321.997034192673	45.55948	-73.19688	"45.55948,-73.19688"	43	FALSE	""
"24590208"	261.553735745237	45.58642	-73.35352	"45.58642,-73.35352"	43	FALSE	""
"48100223"	343.211064020824	53.01258	-112.83338	"53.01258,-112.83338"	43	FALSE	""
"35061320"	143.111856192408	45.37658	-75.64232	"45.37658,-75.64232"	43	FALSE	""
"12070156"	582.166745249529	45.08382	-64.37154	"45.08382,-64.37154"	43	FALSE	""
"35202764"	256.910712775523	43.74508	-79.37071	"43.74508,-79.37071"	43	FALSE	""
"59153809"	199.871709310013	49.2195	-123.0766	"49.2195,-123.0766"	43	FALSE	""
"47110076"	210.537268555754	52.11612	-106.66916	"52.11612,-106.66916"	43	FALSE	""
"48061164"	239.626435624913	51.03922	-113.96861	"51.03922,-113.96861"	43	FALSE	""
"24650558"	290.143375451749	45.62576	-73.77796	"45.62576,-73.77796"	43	FALSE	""
"24470127"	550.119125666218	45.39702	-72.69191	"45.39702,-72.69191"	43	FALSE	""
"35310155"	249.574604288713	43.25883	-81.13062	"43.25883,-81.13062"	43	FALSE	""
"24650446"	263.091372475562	45.56778	-73.8028	"45.56778,-73.8028"	43	FALSE	""
"13140124"	746.580832904919	47.98691	-66.71882	"47.98691,-66.71882"	43	FALSE	""
"35480186"	3232.44264458222	46.3657	-80.00966	"46.3657,-80.00966"	43	FALSE	""
"35370276"	173.799060975238	42.33743	-82.94616	"42.33743,-82.94616"	43	FALSE	""
"35250777"	185.549387173486	43.24588	-79.81704	"43.24588,-79.81704"	43	FALSE	""
"48060181"	269.064750780788	51.08041	-114.15942	"51.08041,-114.15942"	43	FALSE	""
"35250231"	313.317381317738	43.23274	-79.77224	"43.23274,-79.77224"	43	FALSE	""
"35061708"	219.575935092731	45.41055	-75.69389	"45.41055,-75.69389"	43	FALSE	""
"24710178"	3315.4736642502	45.3134	-74.19873	"45.3134,-74.19873"	43	FALSE	""
"24010021"	1131.98880795005	47.40695	-61.77151	"47.40695,-61.77151"	43	FALSE	""
"10100070"	669.425483405981	53.30707	-60.31427	"53.30707,-60.31427"	43	FALSE	""
"48062139"	232.261538337449	50.90357	-114.11297	"50.90357,-114.11297"	43	FALSE	""
"35431142"	817.075024875539	44.35377	-79.5602	"44.35377,-79.5602"	43	FALSE	""
"35370195"	124.799331837183	42.31716	-83.03394	"42.31716,-83.03394"	43	FALSE	""
"48080362"	246.124774140111	52.0151	-113.95279	"52.0151,-113.95279"	43	FALSE	""
"48061835"	167.819038585919	51.19422	-114.50866	"51.19422,-114.50866"	43	FALSE	""
"35250787"	1174.30461130622	43.27896	-79.78673	"43.27896,-79.78673"	43	FALSE	""
"24663045"	278.25122971458	45.48326	-73.86089	"45.48326,-73.86089"	43	FALSE	""
"46111036"	354.233362329525	49.85376	-97.19271	"49.85376,-97.19271"	43	FALSE	""
"13010043"	173.815412436736	45.27436	-66.06011	"45.27436,-66.06011"	43	FALSE	""
"35211102"	364.134776902044	43.73335	-79.63969	"43.73335,-79.63969"	43	FALSE	""
"59170124"	154.8927873096	48.45029	-123.36249	"48.45029,-123.36249"	43	FALSE	""
"24560320"	503.622631726983	45.08889	-73.37216	"45.08889,-73.37216"	43	FALSE	""
"13070251"	3405.43481787145	46.22946	-64.7592	"46.22946,-64.7592"	43	FALSE	""
"24661603"	773.690043369891	45.52039	-73.66366	"45.52039,-73.66366"	43	FALSE	""
