Census Profile - Dissemination Areas (DAs),,,,,,,,,,,,
Geo_Code,Prov_Name,DA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
10010171,Newfoundland and Labrador,0171,Age characteristics,   5 to 9 years,,15,,10,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,   10 to 14 years,,30,,15,,15,
10010171,Newfoundland and Labrador,0171,Age characteristics,   15 to 19 years,,40,,20,,20,
10010171,Newfoundland and Labrador,0171,Age characteristics,      15 years,,5,,5,,0,
10010171,Newfoundland and Labrador,0171,Age characteristics,      16 years,,5,,5,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,      17 years,,10,,5,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,      18 years,,10,,5,,0,
10010171,Newfoundland and Labrador,0171,Age characteristics,      19 years,,10,,0,,10,
10010171,Newfoundland and Labrador,0171,Age characteristics,   20 to 24 years,,60,,30,,25,
10010171,Newfoundland and Labrador,0171,Age characteristics,   25 to 29 years,,35,,15,,20,
10010171,Newfoundland and Labrador,0171,Age characteristics,   30 to 34 years,,40,,20,,20,
10010171,Newfoundland and Labrador,0171,Age characteristics,   35 to 39 years,,30,,15,,10,
10010171,Newfoundland and Labrador,0171,Age characteristics,   40 to 44 years,,30,,15,,15,
10010171,Newfoundland and Labrador,0171,Age characteristics,   45 to 49 years,,55,,25,,30,
10010171,Newfoundland and Labrador,0171,Age characteristics,   50 to 54 years,,50,,20,,25,
10010171,Newfoundland and Labrador,0171,Age characteristics,   55 to 59 years,,50,,25,,20,
10010171,Newfoundland and Labrador,0171,Age characteristics,   60 to 64 years,,20,,10,,15,
10010171,Newfoundland and Labrador,0171,Age characteristics,   65 to 69 years,,20,,10,,10,
10010171,Newfoundland and Labrador,0171,Age characteristics,   70 to 74 years,,15,,10,,10,
10010171,Newfoundland and Labrador,0171,Age characteristics,   75 to 79 years,,10,,5,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,   80 to 84 years,,5,,0,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,   85 years and over,,0,,0,,5,
10010171,Newfoundland and Labrador,0171,Age characteristics,Median age of the population,5,39.4,,38.7,,41,
10010171,Newfoundland and Labrador,0171,Age characteristics,% of the population aged 15 and over,,86.9,,88,,85.9,
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Population in 2011,1,245,,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Total private dwellings,2,99,,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Private dwellings occupied by usual residents,3,94,,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010172,Newfoundland and Labrador,0172,Population and dwelling counts,Land area (square km),,0.09,,,...,,...
10010172,Newfoundland and Labrador,0172,Age characteristics,Total population by age groups,4,245,,120,,125,
10010172,Newfoundland and Labrador,0172,Age characteristics,   0 to 4 years,,15,,10,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   5 to 9 years,,15,,5,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   10 to 14 years,,20,,10,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   15 to 19 years,,10,,5,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,      15 years,,5,,0,,0,
10010172,Newfoundland and Labrador,0172,Age characteristics,      16 years,,0,,0,,0,
10010172,Newfoundland and Labrador,0172,Age characteristics,      17 years,,5,,0,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,      18 years,,5,,0,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,      19 years,,0,,0,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   20 to 24 years,,20,,10,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   25 to 29 years,,10,,10,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   30 to 34 years,,25,,10,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   35 to 39 years,,10,,5,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   40 to 44 years,,10,,5,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   45 to 49 years,,20,,10,,10,
10010172,Newfoundland and Labrador,0172,Age characteristics,   50 to 54 years,,20,,10,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   55 to 59 years,,25,,10,,15,
10010172,Newfoundland and Labrador,0172,Age characteristics,   60 to 64 years,,15,,10,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   65 to 69 years,,5,,5,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   70 to 74 years,,10,,5,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   75 to 79 years,,5,,0,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   80 to 84 years,,0,,0,,5,
10010172,Newfoundland and Labrador,0172,Age characteristics,   85 years and over,,0,,0,,0,
10010172,Newfoundland and Labrador,0172,Age characteristics,Median age of the population,5,37.5,,36,,37.8,
10010172,Newfoundland and Labrador,0172,Age characteristics,% of the population aged 15 and over,,79.2,,83.1,,78.7,
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Population in 2011,1,988,,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Total private dwellings,2,401,,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Private dwellings occupied by usual residents,3,379,,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010173,Newfoundland and Labrador,0173,Population and dwelling counts,Land area (square km),,0.32,,,...,,...
10010173,Newfoundland and Labrador,0173,Age characteristics,Total population by age groups,4,990,,470,,520,
10010173,Newfoundland and Labrador,0173,Age characteristics,   0 to 4 years,,45,,25,,20,
10010173,Newfoundland and Labrador,0173,Age characteristics,   5 to 9 years,,40,,20,,15,
10010173,Newfoundland and Labrador,0173,Age characteristics,   10 to 14 years,,70,,30,,40,
10010173,Newfoundland and Labrador,0173,Age characteristics,   15 to 19 years,,95,,55,,40,
10010173,Newfoundland and Labrador,0173,Age characteristics,      15 years,,20,,10,,10,
10010173,Newfoundland and Labrador,0173,Age characteristics,      16 years,,20,,15,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,      17 years,,20,,15,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,      18 years,,15,,5,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,      19 years,,30,,15,,15,
10010173,Newfoundland and Labrador,0173,Age characteristics,   20 to 24 years,,105,,40,,65,
10010173,Newfoundland and Labrador,0173,Age characteristics,   25 to 29 years,,85,,40,,45,
10010173,Newfoundland and Labrador,0173,Age characteristics,   30 to 34 years,,65,,30,,35,
10010173,Newfoundland and Labrador,0173,Age characteristics,   35 to 39 years,,60,,25,,35,
10010173,Newfoundland and Labrador,0173,Age characteristics,   40 to 44 years,,60,,20,,35,
10010173,Newfoundland and Labrador,0173,Age characteristics,   45 to 49 years,,110,,50,,55,
10010173,Newfoundland and Labrador,0173,Age characteristics,   50 to 54 years,,100,,45,,50,
10010173,Newfoundland and Labrador,0173,Age characteristics,   55 to 59 years,,60,,35,,25,
10010173,Newfoundland and Labrador,0173,Age characteristics,   60 to 64 years,,30,,15,,15,
10010173,Newfoundland and Labrador,0173,Age characteristics,   65 to 69 years,,20,,10,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,   70 to 74 years,,15,,5,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,   75 to 79 years,,15,,0,,10,
10010173,Newfoundland and Labrador,0173,Age characteristics,   80 to 84 years,,15,,5,,10,
10010173,Newfoundland and Labrador,0173,Age characteristics,   85 years and over,,5,,0,,5,
10010173,Newfoundland and Labrador,0173,Age characteristics,Median age of the population,5,33.8,,33.2,,34.4,
